,code,tradeStatus,code_name
785,sh.600683,1,京投发展
786,sh.600684,1,珠江实业
787,sh.600685,1,中船防务
788,sh.600686,1,金龙汽车
789,sh.600687,1,*ST刚泰
790,sh.600688,1,上海石化
791,sh.600689,1,上海三毛
792,sh.600690,1,海尔智家
793,sh.600691,1,阳煤化工
794,sh.600692,1,亚通股份
795,sh.600693,1,东百集团
796,sh.600694,1,大商股份
797,sh.600695,1,绿庭投资
798,sh.600696,1,ST岩石
799,sh.600697,1,欧亚集团
800,sh.600698,1,*ST天雁
801,sh.600699,1,均胜电子
802,sh.600701,1,*ST工新
803,sh.600702,1,舍得酒业
804,sh.600703,1,三安光电
805,sh.600704,1,物产中大
806,sh.600705,1,中航资本
807,sh.600706,1,曲江文旅
808,sh.600707,1,彩虹股份
809,sh.600708,1,光明地产
810,sh.600710,1,苏美达
811,sh.600711,1,盛屯矿业
812,sh.600712,1,南宁百货
813,sh.600713,1,南京医药
814,sh.600714,1,金瑞矿业
815,sh.600715,1,文投控股
816,sh.600716,1,凤凰股份
817,sh.600717,1,天津港
818,sh.600718,1,东软集团
819,sh.600719,1,大连热电
820,sh.600720,1,祁连山
821,sh.600721,1,*ST百花
822,sh.600722,1,金牛化工
823,sh.600723,1,首商股份
824,sh.600724,1,宁波富达
825,sh.600725,1,ST云维
826,sh.600726,1,*ST华源
827,sh.600727,1,鲁北化工
828,sh.600728,1,佳都科技
829,sh.600729,1,重庆百货
830,sh.600730,1,中国高科
831,sh.600731,1,湖南海利
832,sh.600732,1,ST爱旭
833,sh.600733,1,北汽蓝谷
834,sh.600734,1,实达集团
835,sh.600735,1,新华锦
836,sh.600736,1,苏州高新
837,sh.600737,1,中粮糖业
838,sh.600738,1,兰州民百
839,sh.600739,1,辽宁成大
840,sh.600740,1,山西焦化
841,sh.600741,1,华域汽车
842,sh.600742,1,一汽富维
843,sh.600743,1,华远地产
844,sh.600744,1,华银电力
845,sh.600745,1,闻泰科技
846,sh.600746,1,江苏索普
847,sh.600747,1,退市大控
848,sh.600748,1,上实发展
849,sh.600749,1,西藏旅游
850,sh.600750,1,江中药业
851,sh.600751,1,海航科技
852,sh.600753,1,东方银星
853,sh.600754,1,锦江酒店
854,sh.600755,1,厦门国贸
855,sh.600756,1,浪潮软件
856,sh.600757,1,长江传媒
857,sh.600758,1,红阳能源
858,sh.600759,1,洲际油气
859,sh.600760,1,中航沈飞
860,sh.600761,1,安徽合力
861,sh.600763,1,通策医疗
862,sh.600764,1,中国海防
863,sh.600765,1,中航重机
864,sh.600766,1,园城黄金
865,sh.600767,1,ST运盛
866,sh.600768,1,宁波富邦
867,sh.600769,1,祥龙电业
868,sh.600770,1,综艺股份
869,sh.600771,1,广誉远
870,sh.600773,1,西藏城投
871,sh.600774,1,汉商集团
872,sh.600775,1,南京熊猫
873,sh.600776,1,东方通信
874,sh.600777,1,新潮能源
875,sh.600778,1,友好集团
876,sh.600779,1,水井坊
877,sh.600780,1,通宝能源
878,sh.600781,1,ST辅仁
879,sh.600782,1,新钢股份
880,sh.600783,1,鲁信创投
881,sh.600784,1,鲁银投资
882,sh.600785,1,新华百货
883,sh.600787,1,中储股份
884,sh.600789,1,鲁抗医药
885,sh.600790,1,轻纺城
886,sh.600791,1,京能置业
887,sh.600792,1,云煤能源
888,sh.600793,1,宜宾纸业
889,sh.600794,1,保税科技
890,sh.600795,1,国电电力
891,sh.600796,1,钱江生化
892,sh.600797,1,浙大网新
893,sh.600798,1,宁波海运
894,sh.600800,1,天津磁卡
895,sh.600801,1,华新水泥
896,sh.600802,1,福建水泥
897,sh.600803,1,新奥股份
898,sh.600804,1,鹏博士
899,sh.600805,1,悦达投资
900,sh.600807,1,ST天业
901,sh.600808,1,马钢股份
902,sh.600809,1,山西汾酒
903,sh.600810,1,神马股份
904,sh.600811,1,东方集团
905,sh.600812,1,华北制药
906,sh.600814,1,杭州解百
907,sh.600815,1,*ST厦工
908,sh.600816,1,安信信托
909,sh.600817,1,ST宏盛
910,sh.600818,1,中路股份
911,sh.600819,1,耀皮玻璃
912,sh.600820,1,隧道股份
913,sh.600821,1,津劝业
914,sh.600822,1,上海物贸
915,sh.600823,1,世茂股份
916,sh.600824,1,益民集团
917,sh.600825,1,新华传媒
918,sh.600826,1,兰生股份
919,sh.600827,1,百联股份
920,sh.600828,1,茂业商业
921,sh.600829,1,人民同泰
922,sh.600830,1,香溢融通
923,sh.600831,1,广电网络
924,sh.600833,1,第一医药
925,sh.600834,1,申通地铁
926,sh.600835,1,上海机电
927,sh.600836,1,界龙实业
928,sh.600837,1,海通证券
929,sh.600838,1,上海九百
930,sh.600839,1,四川长虹
931,sh.600841,1,上柴股份
932,sh.600843,1,上工申贝
933,sh.600844,1,丹化科技
934,sh.600845,1,宝信软件
935,sh.600846,1,同济科技
936,sh.600847,1,万里股份
937,sh.600848,1,上海临港
938,sh.600850,1,华东电脑
939,sh.600851,1,海欣股份
940,sh.600853,1,龙建股份
941,sh.600854,1,春兰股份
942,sh.600855,1,航天长峰
943,sh.600856,1,ST中天
944,sh.600857,1,宁波中百
945,sh.600858,1,银座股份
946,sh.600859,1,王府井
947,sh.600860,1,京城股份
948,sh.600861,1,北京城乡
949,sh.600862,1,中航高科
950,sh.600863,1,内蒙华电
951,sh.600864,1,哈投股份
952,sh.600865,1,百大集团
953,sh.600866,1,星湖科技
954,sh.600867,1,通化东宝
955,sh.600868,1,梅雁吉祥
956,sh.600869,1,智慧能源
957,sh.600870,1,ST厦华
958,sh.600871,1,石化油服
959,sh.600872,1,中炬高新
960,sh.600873,1,梅花生物
961,sh.600874,1,创业环保
962,sh.600875,1,东方电气
963,sh.600876,1,洛阳玻璃
964,sh.600877,1,*ST电能
965,sh.600879,1,航天电子
966,sh.600880,1,博瑞传播
967,sh.600881,1,亚泰集团
968,sh.600882,1,妙可蓝多
969,sh.600883,1,博闻科技
970,sh.600884,1,杉杉股份
971,sh.600885,1,宏发股份
972,sh.600886,1,国投电力
973,sh.600887,1,伊利股份
974,sh.600888,1,新疆众和
975,sh.600889,1,南京化纤
976,sh.600890,1,中房股份
